"RG","TG","COEF","RE"
"TCF7","E2F2","0.618461594007674","6.57265918585725"
"PGR","E2F2","0.480857862788385","5.63422061695888"
"GSK3B","E2F2","0.305731606553562","3.68818251186235"
"WNT11","E2F2","-0.373257924968697","3.38418656299201"
"BAX","E2F2","0.620983532746932","6.24106933719586"
"DLL3","E2F2","0.521988870787413","1.22996539789309"
"ESR1","E2F2","0.3814331149781","4.87886328459022"
"MAPK1","E2F2","0.318068146849488","4.19341699264409"
"E2F1","E2F2","0.675764085016265","5.13502776869902"
"AXIN1","E2F2","0.519677617439476","5.50496811269589"
"FZD3","E2F2","0.627359064093207","6.15429706655395"
"AKT2","E2F2","-0.312158375457566","4.04064353765791"
"PIK3R2","E2F2","0.382734878007099","0.751098700406745"
"CDK6","E2F2","0.56778503010911","6.41759534694136"
"WNT2","E2F2","0.244610930185449","1.91832126170709"
"WNT3","E2F2","0.340386992312906","2.7099700223673"
"CCND1","E2F2","0.405668538449692","5.42296344008662"
"WNT5B","E2F2","0.563464543165766","5.01089169931572"
"FZD10","E2F2","0.579761815113089","3.90828150948435"
"E2F3","E2F2","0.566452048553742","5.57953557302204"
"FGF1","E2F2","0.454559730114106","5.2778304409231"
"CSNK1A1","E2F2","0.414584629073929","5.21374193234493"
"WNT5A","E2F2","0.454664740149718","4.6120502697689"
"HES1","E2F2","0.477499005094089","5.52056132026613"
"APC2","E2F2","0.363989854047037","2.54398425472021"
"WNT6","E2F2","0.619750196354846","3.75063411083326"
"PIK3R3","E2F2","0.403510232894677","4.80151725416236"
"TNFSF11","E2F2","0.345279256395915","1.5083887435342"
"NCOA3","E2F2","0.279450738556921","3.31765409034488"
"WNT1","E2F2","0.333732646612562","1.0657867247825"
"MAP2K2","E2F2","0.261317754086313","3.11303891192968"
"KRAS","E2F2","0.329200134858327","3.63596774388269"
"DDB2","E2F2","0.560989870467135","6.03834067610156"
"CDK4","E2F2","0.584133808751842","6.47895586962737"
"HEY2","E2F2","0.513246672527891","5.05186283067761"
"WNT10A","E2F2","0.682841553606697","3.95974633155045"
"MYC","E2F2","0.372069809279646","4.87489354088068"
"FGF2","E2F2","-0.303688750328843","3.46593018969798"
"LEF1","E2F2","0.58157044925949","4.75456804044989"
"EGF","E2F2","0.562131330185124","5.3450953382184"
"BRCA2","E2F2","0.743977110267612","5.7839706506551"
"ESR2","E2F2","-0.360672103314704","2.39913375225715"
"IGF1R","E2F2","0.582343686881373","7.59105916250807"
"TP53","E2F2","0.748690123784737","8.91940642175534"
"ERBB2","E2F2","0.620766569484429","8.25917504975883"
"AKT1","E2F2","0.255517283482041","3.15676129488509"
"PIK3R1","E2F2","0.347001327115578","4.97504501304811"
"TCF7L2","E2F2","0.245227176051134","2.90337944396777"
"TCF7L1","E2F2","0.392029709730961","4.61791096218515"
"WNT3A","E2F2","0.535626470732072","1.4603026475248"
"WNT7A","E2F2","0.270702914680409","0.397237002744315"
"FZD7","E2F2","0.66165714911172","8.30193391105503"
"FGF18","E2F2","-0.272853864302342","1.50091743270697"
"FZD1","E2F2","0.679884217348462","8.27341363211253"
"KIT","E2F2","0.655392832691999","8.79855842478174"
"FGF17","E2F2","0.442522982612617","1.64877314292305"
"WNT9B","E2F2","-0.309002751400529","1.71544794661904"
"SHC1","E2F2","0.329270409219338","4.0545549680429"
